FrameScript__RegisterFunction at 0x3294A0
Script_SetCharSelectModelFrame 0x388160
Script_SetCharSelectBackground 0x388240
Script_GetCharacterListUpdate 0x3882D0
Script_GetNumCharacters 0x388340
Script_IsCharacterListUpdatePending 0x388360
Script_IsCharacterListUpdateRequested 0x388380
Script_GetCharacterRace 0x3883A0
Script_SelectCharacter 0x3884C0
Script_GetCharacterSelection 0x388570
Script_DeleteCharacter 0x388590
Script_RenameCharacter 0x3886C0
Script_DeclineCharacter 0x3887F0
Script_UpdateSelectionCustomizationScene 0x3889D0
Script_GetCharacterSelectFacing 0x388A80
Script_SetCharacterSelectFacing 0x388AB0
Script_GetSelectBackgroundModel 0x388B10
Script_SaveCharacterOrder 0x388C20
Script_EnableChangeFaction 0x197CF0
Script_GetPlayersOnServer 0x388D80
Script_UndeleteCharacter 0x388910
Script_StartCharacterUndelete 0x3888E0
Script_EndCharacterUndelete 0x3888F0
Script_GetCharacterUndeleteStatus 0x388970
Script_CheckCharacterUndeleteCooldown 0x3889C0
Script_KioskDeleteAllCharacters 0x388640
Script_RequestConsumptionConversionInfo 0x388DA0
Script_ConvertConsumptionTime 0x388E20
Script_GetConsumptionConversionInfo 0x388DD0
Script_GetBuildInfo 0x3A0840
Script_GetLocale 0x3A0CF0
Script_GetSavedAccountName 0x3A0B90
Script_SetSavedAccountName 0x3A0BB0
Script_GetUsesToken 0x3A0C20
Script_SetUsesToken 0x3A0C40
Script_GetSavedAccountList 0x3A0CA0
Script_ClearSavedAccountList 0x3A0CC0
Script_QuitGame 0x3A0D20
Script_PlayGlueMusic 0x3A0D30
Script_PlayCreditsMusic 0x3A0E20
Script_StopGlueMusic 0x3A0E50
Script_LaunchURL 0x3A0E70
Script_GetServerName 0x3A0EC0
Script_IsConnectedToServer 0x3A1020
Script_EnterWorld 0x3A1050
Script_Screenshot 0x3A1090
Script_GetCursorPosition 0x3A1110
Script_GetCursorDelta 0x3A11A0
Script_ShowCursor 0x3A1250
Script_HideCursor 0x3A1270
Script_GetBillingTimeRemaining 0x3A1290
Script_GetBillingPlan 0x3A12D0
Script_GetBillingTimeRested 0x3A1370
Script_PlayGlueAmbience 0x3A0D80
Script_StopGlueAmbience 0x3A0E10
Script_GetCreditsText 0x3A13A0
Script_GetClassicCreditsText 0x3A1430
Script_GetCVar 0x3A15B0
Script_GetCVarBool 0x3A1640
Script_SetCVar 0x3A1490
Script_GetCVarDefault 0x3A16C0
Script_GetNumDeclensionSets 0x3A1760
Script_DeclineName 0x3A1820
Script_StopAllSFX 0x3A1980
Script_SetClearConfigData 0x3A19C0
Script_RestartGx 0x3A1A00
Script_IsStreamingMode 0x3A1A20
Script_GetLoginScreenBackground 0x3A1A40
Script_IsConsoleActive 0x3A1AF0
Script_RunScript 0x3A1B20
Script_LoadURLIndex 0x3A1B70
Script_HasShownTrialPopUp 0x3A1C70
Script_SetTrialPopUp 0x3A1CA0
Script_VisitPromotionURL 0x3A1CB0
Script_WasScreenFirstDisplayed 0x3A1DC0
Script_DebugLog 0x3A1DE0
Script_SetWorldFrameStrata 0x3A1E00
Script_ClearAccountCharacters 0x3A1E80
Script_RequestAccountCharacters 0x3A1E90
Script_GetNumAccountCharacters 0x3A1F20
Script_GetAccountCharacterInfo 0x3A1F40
Script_CopyAccountCharacterFromLive 0x3A2030
Script_CopyAccountDataFromLive 0x3A2100
Script_InitializeCharacterScreenData 0x3A2420
Script_SetInCharacterSelect 0x3A2430
Script_SetInCharacterCreate 0x3A2460
Script_LogAuroraClient 0x3A2490
Script_HasCheckedSystemRequirements 0x3A24F0
Script_SetCheckedSystemRequirements 0x3A2510
Script_GetKioskLoginInfo 0x3A2190
Script_SpellIsTargeting 0x7576E0
Script_SpellCanTargetItem 0x757720
Script_SpellTargetItem 0x757770
Script_SpellCanTargetUnit 0x757B40
Script_SpellTargetUnit 0x757BE0
Script_SpellCanTargetItemID 0x757D60
Script_SpellStopTargeting 0x757DB0
Script_SpellStopCasting 0x757E70
Script_CancelUnitBuff 0x757FB0
Script_CancelSpellByName 0x7581A0
Script_CancelItemTempEnchantment 0x758300
Script_CannotBeResurrected 0x7583E0
Script_SpellCancelQueuedSpell 0x7584A0
Script_SpellGetVisibilityInfo 0x7584C0
Script_SpellIsAlwaysShown 0x758640
Script_SpellIsSelfBuff 0x7586B0
Script_AcceptSpellConfirmationPrompt 0x758940
Script_DeclineSpellConfirmationPrompt 0x758AA0
Script_GetSpellConfirmationPromptsInfo 0x758D50
Script_CombatLogResetFilter 0xA58B60
Script_CombatLogAddFilter 0xA58B80
Script_CombatLogSetRetentionTime 0xA58DD0
Script_CombatLogGetRetentionTime 0xA58E30
Script_CombatLogGetNumEntries 0xA58E50
Script_CombatLogSetCurrentEntry 0xA58EF0
Script_CombatLogGetCurrentEntry 0xA58680
Script_CombatLogAdvanceEntry 0xA586C0
Script_CombatLogClearEntries 0xA58830
Script_CombatLog_Object_IsA 0xA58880
Script_CombatTextSetActiveUnit 0xA58B20
Script_DeathRecap_GetEvents 0xA58900
Script_DeathRecap_HasEvents 0xA58A20
Script_GetDeathRecapLink 0xA58AA0
Script_CombatLogGetCurrentEventInfo 0xA586A0
Script_PlaySound 0xC1F000
Script_PlayMusic 0xC1F180
Script_PlaySoundFile 0xC1F1F0
Script_StopSound 0xC1F300
Script_StopMusic 0xC1F2F0
Script_Sound_GameSystem_GetNumInputDrivers 0xC1F3B0
Script_Sound_GameSystem_GetInputDriverNameByIndex 0xC1F3D0
Script_Sound_GameSystem_GetNumOutputDrivers 0xC1F420
Script_Sound_GameSystem_GetOutputDriverNameByIndex 0xC1F450
